date,unit_nav,cumulative_nav,adjusted_nav,change_pct,id,fid,source,insert_date
2026-02-06,1.506,1.638,1.66085525,0.6012024,77935452,1efcf35e914e1b54,10,2026-06-30 11:05:17
2026-01-30,1.497,1.629,1.65092982,-1.31839156,77935451,1efcf35e914e1b54,10,2026-06-30 11:05:17
2026-01-23,1.517,1.649,1.67298633,1.13333333,77935450,1efcf35e914e1b54,10,2026-06-30 11:05:17
2026-01-16,1.5,1.632,1.6542383,-0.06662225000000001,77935449,1efcf35e914e1b54,10,2026-06-30 11:05:17
2026-01-09,1.501,1.633,1.65534112,1.11695138,77935448,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-12-31,1.522,1.616,1.637056,0.06574622,77935447,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-12-26,1.521,1.615,1.63598041,3.3990482699999998,77935446,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-12-19,1.471,1.565,1.58220064,-1.4735432,77935445,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-12-12,1.493,1.587,1.60586374,0.26863667,77935444,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-12-05,1.489,1.583,1.60156136,-1.6512549500000002,77935443,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-11-28,1.514,1.608,1.62845124,0.93333333,77935442,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-11-21,1.5,1.594,1.61339291,-2.2801302900000002,77935441,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-11-14,1.535,1.629,1.65103874,1.58835208,77935440,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-11-07,1.511,1.605,1.62522445,1.6139879,77935439,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-10-31,1.487,1.581,1.59941017,-1.5231788099999999,77935438,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-10-24,1.51,1.604,1.62414886,-1.43603133,77935437,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-10-17,1.532,1.626,1.64781195,0.72320842,77935436,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-10-10,1.521,1.615,1.63598041,-1.29785853,77935435,1efcf35e914e1b54,10,2026-06-30 11:05:17
